country_id,date_id,plastic_production,ocean_pollution_share,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score
60,1,,0.00016387284836,0.4899162842130613,,0.4090249217453569,,0.1742598744934215,10.863337214032928
61,1,,5.042239778463915e-06,0.4899162842130613,,0.4090249217453569,,0.0057871115847722,7.487528731516677
62,1,,0.0090029219826989,0.4899162842130613,,0.4090249217453569,,0.2544411194838367,12.820524079214785
63,1,,0.0029585351314464,0.4899162842130613,,0.4090249217453569,,0.1666706542458592,10.823339300405136
64,1,,0.00031135840818,0.4899162842130613,,0.4090249217453569,,0.153216863408086,10.448376414719016
65,1,,0.0015706581910312,0.4899162842130613,,0.4090249217453569,,0.5064023947101223,17.56245903207379
66,1,,0.0087344226311557,0.4899162842130613,,0.4090249217453569,,0.3039076538914282,13.79911479330489
67,1,,0.0030707250004705,0.4899162842130613,,0.4090249217453569,,0.2154595698999018,11.803605208246957
68,1,,0.0001411827631836,0.4899162842130613,,0.4090249217453569,,0.0111448624000866,7.600129368759171
69,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0063686955366303,7.498958720962701
70,1,,0.1594772709037637,1.0,4.1608157,0.710380499657122,36.29173,0.1367638948900886,20.425783723665983
71,1,,0.0710111458772715,0.4899162842130613,,0.4090249217453569,,0.0437749960858981,11.087530567038916
72,1,,0.0011697999990034,0.4899162842130613,,0.4090249217453569,,0.0860119365778343,9.138615541746915
73,1,,8.445754406925363e-05,0.4899162842130613,,0.4090249217453569,,0.1799279009595766,10.973521131184397
74,1,,0.0001449644337574,0.4899162842130613,,0.4090249217453569,,0.0078432863993854,7.534249115568102
75,1,,4.159848743232165e-05,0.4899162842130613,,0.4090249217453569,,0.0101942075715617,7.577132901158621
76,1,,0.0005218719837509,0.4899162842130613,,0.4090249217453569,,0.0091798840216322,7.576057370012775
77,1,,0.0029421478429064,0.4899162842130613,,0.4090249217453569,,0.2423571713046682,12.336414150039715
78,1,,0.0023131282299098,0.4899162842130613,,0.4090249217453569,,0.0040073972047058,7.544257883520607
79,1,,1.2605568579511942e-06,0.4899162842130613,,0.4090249217453569,,0.1771484867531148,10.91460496756671
80,1,,1.6387288540002076e-05,0.4899162842130613,,0.4090249217453569,,0.0420239908949843,8.21272011967138
81,1,,0.0003264851275154,0.4899162842130613,,0.4090249217453569,,0.0792905602878184,8.970455421087081
82,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0089824589850401,7.551233989930897
83,1,,8.823922698976635e-06,0.4899162842130613,,0.4090249217453569,,0.0089883126837296,7.551704020812647
84,1,,1.134504876153816e-05,0.4899162842130613,,0.4090249217453569,,0.0071650750960305,7.515340114101166
85,1,,0.0008622232737438,0.4899162842130613,,0.4090249217453569,,0.0977866193036002,9.361806127251851
86,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.2057010596260368,11.485606002750831
87,1,,0.0033253581895363,0.4899162842130613,,0.4090249217453569,,0.1163116425250535,9.83083198831262
88,1,,0.0011080325401105,0.4899162842130613,,0.4090249217453569,,0.4001705360442066,15.41931683271865
89,1,,8.823922698976635e-06,0.4899162842130613,,0.4090249217453569,,0.0053659630032123,7.4792570272023005
90,1,,0.0004298510738406,0.4899162842130613,,0.4090249217453569,,0.0860119365778343,9.109017584740403
91,1,,0.0009769342688305,0.4899162842130613,,0.4090249217453569,,0.0134296971498264,7.679256123979841
92,1,,0.0921444400499076,0.4899162842130613,,0.4090249217453569,,0.3666759529243356,18.39088147071311
93,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0015863858924658,7.403312528079412
94,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.008428861812196,7.540162046474014
95,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0038621006979272,7.448826824188639
96,1,,2.77323249548811e-05,0.4899162842130613,,0.4090249217453569,,0.0052790184823453,7.478274472875195
97,1,,0.0001600911654395,0.4899162842130613,,0.4090249217453569,,0.0660603986387572,8.699196429622818
98,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0033477609927005,7.438540030084104
99,1,,0.0044270879330104,0.4899162842130613,,0.4090249217453569,,0.0485179184452699,8.519026696455908
100,1,,4.664072721078556e-05,0.4899162842130613,,0.4090249217453569,,0.0860119365778343,9.09368917087521
101,1,,0.0003145098064982,0.1084268238768639,0.6075314,0.6035234625222857,54.14757,0.0860119365778343,18.754254760716552
102,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0018052046240368,7.407688902710831
103,1,,0.0,0.4899162842130613,,0.4090249217453569,,0.0003273917231595,7.378132644693284
104,1,,0.0022690086164149,0.4899162842130613,,0.4090249217453569,,0.1165111597415069,9.792568349716833
105,1,,0.003206865511529,0.4899162842130613,,0.4090249217453569,,0.2057712618887805,11.615284668466868
106,1,,0.003206865511529,0.4899162842130613,,0.4090249217453569,,0.1155985512859038,9.811830456409334
107,1,,2.521126062561526e-06,0.4899162842130613,,0.4090249217453569,,0.1204207856527877,9.780101368328353
108,1,,0.0003416118591975,0.4899162842130613,,0.4090249217453569,,0.0127782358090354,7.640814000778703
