entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score,risk_category
Hong Kong,2019,,0.00014118276318362616,HKG,0.4899162842130613,,0.40902492174535693,,0.011144862400086613,7.600129368759171,Low
Iceland,2019,,0.0,ISL,0.4899162842130613,,0.40902492174535693,,0.006368695536630371,7.498958720962701,Low
India,2019,,0.15947727090376376,IND,1.0,4.1608157,0.710380499657122,36.29173,0.13676389489008864,20.425783723665983,Low
Indonesia,2019,,0.07101114587727153,IDN,0.4899162842130613,,0.40902492174535693,,0.04377499608589815,11.087530567038916,Low
Iran,2019,,0.0011697999990034024,IRN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.138615541746917,Low
Iraq,2019,,8.445754406925363e-05,IRQ,0.4899162842130613,,0.40902492174535693,,0.17992790095957667,10.973521131184397,Low
Ireland,2019,,0.00014496443375747975,IRL,0.4899162842130613,,0.40902492174535693,,0.00784328639938547,7.534249115568102,Low
Israel,2019,,4.159848743232165e-05,ISR,0.4899162842130613,,0.40902492174535693,,0.010194207571561769,7.577132901158621,Low
Italy,2019,,0.0005218719837509136,ITA,0.4899162842130613,,0.40902492174535693,,0.009179884021632242,7.576057370012775,Low
Jamaica,2019,,0.002942147842906459,JAM,0.4899162842130613,,0.40902492174535693,,0.24235717130466825,12.336414150039717,Low
Japan,2019,,0.002313128229909875,JPN,0.4899162842130613,,0.40902492174535693,,0.004007397204705898,7.544257883520607,Low
Jordan,2019,,1.2605568579511942e-06,JOR,0.4899162842130613,,0.40902492174535693,,0.17714848675311487,10.91460496756671,Low
Kazakhstan,2019,,1.6387288540002076e-05,KAZ,0.4899162842130613,,0.40902492174535693,,0.04202399089498435,8.21272011967138,Low
Kenya,2019,,0.0003264851275154763,KEN,0.4899162842130613,,0.40902492174535693,,0.07929056028781842,8.970455421087081,Low
Kiribati,2019,,0.0,KIR,0.4899162842130613,,0.40902492174535693,,0.008982458985040194,7.551233989930897,Low
Kuwait,2019,,8.823922698976635e-06,KWT,0.4899162842130613,,0.40902492174535693,,0.008988312683729691,7.551704020812647,Low
Latvia,2019,,1.134504876153816e-05,LVA,0.4899162842130613,,0.40902492174535693,,0.00716507509603053,7.515340114101166,Low
Lebanon,2019,,0.0008622232737438304,LBN,0.4899162842130613,,0.40902492174535693,,0.09778661930360029,9.361806127251851,Low
Lesotho,2019,,0.0,LSO,0.4899162842130613,,0.40902492174535693,,0.20570105962603688,11.485606002750831,Low
Liberia,2019,,0.0033253581895363077,LBR,0.4899162842130613,,0.40902492174535693,,0.11631164252505356,9.83083198831262,Low
Libya,2019,,0.0011080325401105658,LBY,0.4899162842130613,,0.40902492174535693,,0.4001705360442066,15.41931683271865,Low
Lithuania,2019,,8.823922698976635e-06,LTU,0.4899162842130613,,0.40902492174535693,,0.005365963003212375,7.4792570272023005,Low
Macau,2019,,0.00042985107384063443,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.109017584740405,Low
Madagascar,2019,,0.0009769342688305267,MDG,0.4899162842130613,,0.40902492174535693,,0.013429697149826416,7.679256123979841,Low
Malaysia,2019,,0.09214444004990766,MYS,0.4899162842130613,,0.40902492174535693,,0.3666759529243356,18.39088147071311,Low
Maldives,2019,,0.0,MDV,0.4899162842130613,,0.40902492174535693,,0.0015863858924658873,7.403312528079412,Low
Malta,2019,,0.0,MLT,0.4899162842130613,,0.40902492174535693,,0.008428861812196013,7.540162046474014,Low
Marshall Islands,2019,,0.0,MHL,0.4899162842130613,,0.40902492174535693,,0.003862100697927242,7.448826824188639,Low
Martinique,2019,,2.77323249548811e-05,MTQ,0.4899162842130613,,0.40902492174535693,,0.005279018482345306,7.478274472875195,Low
Mauritania,2019,,0.00016009116543953063,MRT,0.4899162842130613,,0.40902492174535693,,0.06606039863875722,8.699196429622818,Low
Mauritius,2019,,0.0,MUS,0.4899162842130613,,0.40902492174535693,,0.003347760992700526,7.438540030084104,Low
Mexico,2019,,0.0044270879330104585,MEX,0.4899162842130613,,0.40902492174535693,,0.0485179184452699,8.519026696455908,Low
Micronesia,2019,,4.664072721078556e-05,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.08601193657783439,9.09368917087521,Low
Middle East & North Africa,2019,,0.0003145098064982921,UNKNOWN,0.10842682387686398,0.6075314,0.6035234625222857,54.14757,0.08601193657783439,18.754254760716552,Low
Monaco,2019,,0.0,MCO,0.4899162842130613,,0.40902492174535693,,0.0018052046240368978,7.407688902710831,Low
Montenegro,2019,,0.0,MNE,0.4899162842130613,,0.40902492174535693,,0.00032739172315956084,7.3781326446932844,Low
Morocco,2019,,0.0022690086164149914,MAR,0.4899162842130613,,0.40902492174535693,,0.11651115974150698,9.792568349716833,Low
Mozambique,2019,,0.003206865511529099,MOZ,0.4899162842130613,,0.40902492174535693,,0.20577126188878056,11.615284668466868,Low
Myanmar,2019,,0.003206865511529099,MMR,0.4899162842130613,,0.40902492174535693,,0.11559855128590381,9.811830456409334,Low
Namibia,2019,,2.521126062561526e-06,NAM,0.4899162842130613,,0.40902492174535693,,0.12042078565278777,9.780101368328351,Low
Netherlands,2019,,0.0003416118591975272,NLD,0.4899162842130613,,0.40902492174535693,,0.012778235809035473,7.640814000778703,Low
New Zealand,2019,,8.571810092720482e-05,NZL,0.4899162842130613,,0.40902492174535693,,0.005116051418185363,7.4773345626308885,Low
